Wavelengths,Rrs_sr-1,MEM_PUW,MEM_LowC,MEM_CDOM,MEM_CDOM-Chl,MEM_Chl,MEM_TSM,MEM_TSM-CDOM,MEM_TSM-Chl,MEM_HighC
808,0.003312369,5.49E-06,0.000665473,0.000653313,0.005853645,0.005970572,0.022444724,0.022054559,0.027825204,0.027366697
809,0.003289626,5.31E-06,0.000664559,0.000652555,0.005844472,0.005959852,0.022445728,0.022060027,0.027816675,0.02736355
810,0.003284278,5.17E-06,0.0006629,0.000651077,0.005828082,0.005941666,0.022421545,0.02204102,0.027778686,0.027331729
811,0.003269422,5.08E-06,0.000660371,0.000648757,0.005803236,0.005914737,0.022367711,0.02199318,0.027706011,0.027266124
812,0.003247124,5.01E-06,0.00065694,0.000645564,0.005769735,0.005878874,0.022283385,0.021915661,0.027597664,0.027165741
813,0.003225065,4.95E-06,0.000652679,0.000641565,0.005728447,0.00583499,0.022171392,0.021811163,0.027456943,0.027033746
814,0.003203255,4.89E-06,0.000647878,0.000637038,0.005682176,0.005786,0.022041338,0.021688985,0.027295105,0.02688105
815,0.003170851,4.84E-06,0.000642844,0.000632281,0.005633682,0.005734767,0.021902763,0.021558378,0.027123334,0.026718517
816,0.00313369,4.79E-06,0.000637682,0.000627394,0.005584027,0.005682391,0.021759348,0.021422912,0.026945935,0.026550329
817,0.003095549,4.74E-06,0.000632272,0.000622261,0.005532098,0.005627725,0.021607093,0.021278686,0.026758193,0.026371883
818,0.003058232,4.68E-06,0.000626313,0.00061659,0.005475135,0.005567921,0.021436123,0.021116084,0.026548477,0.026171837
819,0.003023336,4.61E-06,0.000619474,0.000610059,0.005410094,0.005499847,0.021235404,0.020924338,0.026303767,0.02593747
820,0.002979461,4.53E-06,0.000611441,0.000602362,0.005334066,0.005420519,0.020994103,0.020692852,0.026011232,0.025656218
821,0.002913405,4.44E-06,0.000601724,0.000593019,0.005242535,0.005325307,0.020695358,0.020405126,0.025650871,0.025308489
822,0.002854254,4.34E-06,0.000589873,0.000581592,0.005131386,0.005210006,0.02032334,0.020045631,0.025203793,0.024875738
823,0.002786282,4.22E-06,0.000575424,0.000567622,0.004996399,0.005070329,0.019861069,0.019597652,0.024649514,0.024337787
824,0.00270823,4.07E-06,0.000558331,0.000551058,0.004837243,0.004906001,0.019305229,0.019057771,0.023983507,0.023690012
825,0.00262083,3.92E-06,0.000539076,0.000532362,0.00465845,0.004721744,0.018670277,0.018439927,0.023222201,0.022948275
826,0.002501795,3.75E-06,0.000518483,0.000512335,0.004467715,0.004525508,0.017982889,0.017770047,0.022396609,0.022142757
827,0.002393407,3.59E-06,0.000497319,0.000491717,0.004272161,0.004324628,0.01726848,0.017072896,0.021536463,0.021302464
828,0.00229091,3.43E-06,0.000476188,0.000471103,0.004077427,0.00412488,0.016548045,0.016369007,0.020666583,0.020451689
829,0.002176621,3.27E-06,0.000455754,0.000451142,0.003889614,0.003932482,0.015845527,0.01568189,0.019815715,0.019618676
830,0.00207276,3.13E-06,0.000436804,0.000432609,0.00371587,0.003754701,0.015189712,0.015039872,0.019018733,0.018837761
831,0.001981064,3.00E-06,0.000419794,0.000415959,0.003560278,0.003595649,0.014598355,0.014460527,0.018297591,0.01813067
832,0.001902315,2.88E-06,0.000404978,0.000401444,0.003424996,0.003457466,0.014082,0.013954383,0.017665705,0.017510782
833,0.001839125,2.78E-06,0.000392398,0.000389114,0.003310263,0.003340339,0.013643544,0.013524452,0.017127256,0.016982392
834,0.001791517,2.70E-06,0.000381984,0.000378904,0.003215315,0.003243442,0.013281528,0.013169438,0.016681012,0.016544445
835,0.00175261,2.63E-06,0.00037351,0.000370595,0.003137994,0.003164544,0.012988542,0.012882163,0.016318386,0.016188613
836,0.001718878,2.57E-06,0.000366671,0.000363891,0.003075482,0.003100749,0.012754157,0.012652446,0.016026975,0.015902778
837,0.001690865,2.52E-06,0.000361183,0.000358513,0.003025165,0.003049381,0.012568407,0.012470533,0.015794808,0.015675213
838,0.001666603,2.48E-06,0.000356756,0.000354179,0.002984414,0.003007756,0.012421005,0.012326329,0.015609433,0.015493689
